CCOMP96,CCOMP04,REG96A04,MODIF96A04,CODLOC_96,CODLOC_04
911201041,911201041,0,SIN MODIFICACION,9722,9722
911201042,911201042,0,SIN MODIFICACION,9722,9722
911201043,911201043,0,SIN MODIFICACION,9722,9722
911201044,911201044,0,SIN MODIFICACION,9722,9722
911201045,911201045,0,SIN MODIFICACION,9722,9722
911201046,911201046,0,SIN MODIFICACION,9722,9722
908105001,908105001,0,SIN MODIFICACION,9821,9821
908105002,908105002,0,SIN MODIFICACION,9821,9821
908105003,908105003,0,SIN MODIFICACION,9821,9821
908105004,908105004,0,SIN MODIFICACION,9821,9821
908105010,908105010,0,SIN MODIFICACION,9821,9821
908105011,908105011,0,SIN MODIFICACION,9821,9821
908105012,908105012,0,SIN MODIFICACION,9821,9821
908105013,908105013,0,SIN MODIFICACION,9821,9821
908105023,908105023,0,SIN MODIFICACION,9821,9821
908105024,908105024,0,SIN MODIFICACION,9821,9821
908105025,908105025,0,SIN MODIFICACION,9821,9821
908105026,908105026,0,SIN MODIFICACION,9821,9821
908105036,908105036,0,SIN MODIFICACION,9821,9821
908105037,908105037,0,SIN MODIFICACION,9821,9821
908105038,908105038,0,SIN MODIFICACION,9821,9821
908205005,908205005,0,SIN MODIFICACION,9821,9821
908205006,908205006,0,SIN MODIFICACION,9821,9821
908205007,908205007,0,SIN MODIFICACION,9821,9821
908205008,908205008,0,SIN MODIFICACION,9821,9821
908205009,908205009,0,SIN MODIFICACION,9821,9821
908205014,908205014,0,SIN MODIFICACION,9821,9821
908205015,908205015,0,SIN MODIFICACION,9821,9821
908205016,908205016,0,SIN MODIFICACION,9821,9821
908205017,908205017,0,SIN MODIFICACION,9821,9821
908205018,908205018,0,SIN MODIFICACION,9821,9821
908205019,908205019,0,SIN MODIFICACION,9821,9821
908205020,908205020,0,SIN MODIFICACION,9821,9821
908205021,908205021,0,SIN MODIFICACION,9821,9821
908205022,908205022,0,SIN MODIFICACION,9821,9821
908205027,908205027,0,SIN MODIFICACION,9821,9821
908205028,908205028,0,SIN MODIFICACION,9821,9821
908205029,908205029,0,SIN MODIFICACION,9821,9821
908205030,908205030,0,SIN MODIFICACION,9821,9821
908205031,908205031,0,SIN MODIFICACION,9821,9821
908205032,908205032,0,SIN MODIFICACION,9821,9821
908205033,908205033,0,SIN MODIFICACION,9821,9821
908205034,908205034,0,SIN MODIFICACION,9821,9821
908205035,908205035,0,SIN MODIFICACION,9821,9821
909005005,909005801,1,PARTICION,9900,9823
901026001,901026001,0,SIN MODIFICACION,9900,9900
901026002,901026002,0,SIN MODIFICACION,9900,9900
901026003,901026003,0,SIN MODIFICACION,9900,9900
901026004,901026801,1,PARTICION,9900,9900
901027002,901027002,0,SIN MODIFICACION,9900,9900
901027003,901027003,0,SIN MODIFICACION,9900,9900
901027001,901027808,1,PARTICION,9900,9900
901028002,901028002,0,SIN MODIFICACION,9900,9900
901028003,901028003,0,SIN MODIFICACION,9900,9900
901029002,901029002,0,SIN MODIFICACION,9900,9900
901029004,901029004,0,SIN MODIFICACION,9900,9900
901029103,901029103,0,SIN MODIFICACION,9900,9900
902005002,902005002,0,SIN MODIFICACION,9900,9900
902005004,902005004,0,SIN MODIFICACION,9900,9900
902104002,902104002,0,SIN MODIFICACION,9900,9900
902104003,902104800,1,PARTICION,9900,9900
903001005,903001005,0,SIN MODIFICACION,9900,9900
903001006,903001006,0,SIN MODIFICACION,9900,9900
903001007,903001007,0,SIN MODIFICACION,9900,9900
903002001,903002001,0,SIN MODIFICACION,9900,9900
903002002,903002002,0,SIN MODIFICACION,9900,9900
904001003,904001003,0,SIN MODIFICACION,9900,9900
904001004,904001004,0,SIN MODIFICACION,9900,9900
904001005,904001005,0,SIN MODIFICACION,9900,9900
904002002,904002002,0,SIN MODIFICACION,9900,9900
904002003,904002003,0,SIN MODIFICACION,9900,9900
905002002,905002002,0,SIN MODIFICACION,9900,9900
905002003,905002003,0,SIN MODIFICACION,9900,9900
905002004,905002004,0,SIN MODIFICACION,9900,9900
905003002,905003002,0,SIN MODIFICACION,9900,9900
905003003,905003003,0,SIN MODIFICACION,9900,9900
905004001,905004001,0,SIN MODIFICACION,9900,9900
905004002,905004002,0,SIN MODIFICACION,9900,9900
905101002,905101002,0,SIN MODIFICACION,9900,9900
905101004,905101004,0,SIN MODIFICACION,9900,9900
906001001,906001001,0,SIN MODIFICACION,9900,9900
906001002,906001002,0,SIN MODIFICACION,9900,9900
906002001,906002001,0,SIN MODIFICACION,9900,9900
906002002,906002002,0,SIN MODIFICACION,9900,9900
906003004,906003004,0,SIN MODIFICACION,9900,9900
906003005,906003005,0,SIN MODIFICACION,9900,9900
906004003,906004003,0,SIN MODIFICACION,9900,9900
906004004,906004004,0,SIN MODIFICACION,9900,9900
907001002,907001002,0,SIN MODIFICACION,9900,9900
907001003,907001003,0,SIN MODIFICACION,9900,9900
907001004,907001004,0,SIN MODIFICACION,9900,9900
907002001,907002001,0,SIN MODIFICACION,9900,9900
907002002,907002002,0,SIN MODIFICACION,9900,9900
907203002,907203002,0,SIN MODIFICACION,9900,9900
907203003,907203003,0,SIN MODIFICACION,9900,9900
908006004,908006004,0,SIN MODIFICACION,9900,9900
908006005,908006005,0,SIN MODIFICACION,9900,9900
908006006,908006006,0,SIN MODIFICACION,9900,9900
908007001,908007001,0,SIN MODIFICACION,9900,9900
908007002,908007002,0,SIN MODIFICACION,9900,9900
908007003,908007003,0,SIN MODIFICACION,9900,9900
908007004,908007004,0,SIN MODIFICACION,9900,9900
908008002,908008002,0,SIN MODIFICACION,9900,9900
908008003,908008003,0,SIN MODIFICACION,9900,9900
908008004,908008004,0,SIN MODIFICACION,9900,9900
908008005,908008005,0,SIN MODIFICACION,9900,9900
909003001,909003001,0,SIN MODIFICACION,9900,9900
909003002,909003002,0,SIN MODIFICACION,9900,9900
909003003,909003003,0,SIN MODIFICACION,9900,9900
909004003,909004003,0,SIN MODIFICACION,9900,9900
909004004,909004004,0,SIN MODIFICACION,9900,9900
909004005,909004005,0,SIN MODIFICACION,9900,9900
909004006,909004006,0,SIN MODIFICACION,9900,9900
909005003,909005003,0,SIN MODIFICACION,9900,9900
909005004,909005004,0,SIN MODIFICACION,9900,9900
909005005,909005800,1,PARTICION,9900,9900
909006002,909006002,0,SIN MODIFICACION,9900,9900
909006003,909006003,0,SIN MODIFICACION,9900,9900
909006004,909006004,0,SIN MODIFICACION,9900,9900
909006005,909006005,0,SIN MODIFICACION,9900,9900
909006006,909006006,0,SIN MODIFICACION,9900,9900
910006001,910006001,0,SIN MODIFICACION,9900,9900
910006002,910006800,1,PARTICION,9900,9900
910007003,910007003,0,SIN MODIFICACION,9900,9900
910007004,910007004,0,SIN MODIFICACION,9900,9900
910007002,910007800,1,PARTICION,9900,9900
910008001,910008001,0,SIN MODIFICACION,9900,9900
910008002,910008002,0,SIN MODIFICACION,9900,9900
910008004,910008004,0,SIN MODIFICACION,9900,9900
910008005,910008005,0,SIN MODIFICACION,9900,9900
910205001,910205001,0,SIN MODIFICACION,9900,9900
910205002,910205002,0,SIN MODIFICACION,9900,9900
910205003,910205003,0,SIN MODIFICACION,9900,9900
910205004,910205004,0,SIN MODIFICACION,9900,9900
910205005,910205005,0,SIN MODIFICACION,9900,9900
911002001,911002001,0,SIN MODIFICACION,9900,9900
911002002,911002002,0,SIN MODIFICACION,9900,9900
911002003,911002003,0,SIN MODIFICACION,9900,9900
911003001,911003001,0,SIN MODIFICACION,9900,9900
911003002,911003002,0,SIN MODIFICACION,9900,9900
911003003,911003003,0,SIN MODIFICACION,9900,9900
911004002,911004002,0,SIN MODIFICACION,9900,9900
911004003,911004003,0,SIN MODIFICACION,9900,9900
911005001,911005001,0,SIN MODIFICACION,9900,9900
911005002,911005002,0,SIN MODIFICACION,9900,9900
911005003,911005003,0,SIN MODIFICACION,9900,9900
912002001,912002001,0,SIN MODIFICACION,9900,9900
912002002,912002002,0,SIN MODIFICACION,9900,9900
912003001,912003001,0,SIN MODIFICACION,9900,9900
912003002,912003002,0,SIN MODIFICACION,9900,9900
912004002,912004002,0,SIN MODIFICACION,9900,9900
912004003,912004003,0,SIN MODIFICACION,9900,9900
912005002,912005002,0,SIN MODIFICACION,9900,9900
912005003,912005003,0,SIN MODIFICACION,9900,9900
912005001,912005800,1,PARTICION,9900,9900
913002005,913002005,0,SIN MODIFICACION,9900,9900
913002006,913002006,0,SIN MODIFICACION,9900,9900
913003005,913003005,0,SIN MODIFICACION,9900,9900
913003006,913003006,0,SIN MODIFICACION,9900,9900
913003004,913003800,1,PARTICION,9900,9900
901030001,901030001,0,SIN MODIFICACION,9924,9924
901030002,901030002,0,SIN MODIFICACION,9924,9924
901030003,901030003,0,SIN MODIFICACION,9924,9924
901030004,901030004,0,SIN MODIFICACION,9924,9924
901030005,901030005,0,SIN MODIFICACION,9924,9924
901030006,901030006,0,SIN MODIFICACION,9924,9924
910006002,910006801,1,PARTICION,9900,9928
910007002,910007801,1,PARTICION,9900,9928
913001001,913001001,0,SIN MODIFICACION,9931,9931
913001002,913001002,0,SIN MODIFICACION,9931,9931
913001003,913001003,0,SIN MODIFICACION,9931,9931
913001004,913001004,0,SIN MODIFICACION,9931,9931
913001005,913001005,0,SIN MODIFICACION,9931,9931
905201001,905201001,0,SIN MODIFICACION,9942,9942
905201002,905201002,0,SIN MODIFICACION,9942,9942
905201003,905201003,0,SIN MODIFICACION,9942,9942
905201004,905201004,0,SIN MODIFICACION,9942,9942
905201005,905201005,0,SIN MODIFICACION,9942,9942
905201006,905201006,0,SIN MODIFICACION,9942,9942
905201007,905201007,0,SIN MODIFICACION,9942,9942
905201008,905201008,0,SIN MODIFICACION,9942,9942
905201009,905201009,0,SIN MODIFICACION,9942,9942
905201010,905201010,0,SIN MODIFICACION,9942,9942
905201400,905201400,0,SIN MODIFICACION,9942,9942
905201401,905201401,0,SIN MODIFICACION,9942,9942
913003004,913003801,1,PARTICION,9900,9955
913003004,913003802,1,PARTICION,9900,9955
913003004,913003803,1,PARTICION,9900,9955
913003004,913003804,1,PARTICION,9900,9955
907103001,907103001,0,SIN MODIFICACION,9956,9956
907103002,907103002,0,SIN MODIFICACION,9956,9956
907103003,907103003,0,SIN MODIFICACION,9956,9956
907103004,907103004,0,SIN MODIFICACION,9956,9956
907103005,907103005,0,SIN MODIFICACION,9956,9956
907103006,907103006,0,SIN MODIFICACION,9956,9956
907103007,907103007,0,SIN MODIFICACION,9956,9956
907103008,907103008,0,SIN MODIFICACION,9956,9956
907103009,907103009,0,SIN MODIFICACION,9956,9956
907103010,907103010,0,SIN MODIFICACION,9956,9956
907103011,907103011,0,SIN MODIFICACION,9956,9956
907103012,907103012,0,SIN MODIFICACION,9956,9956
907103013,907103013,0,SIN MODIFICACION,9956,9956
907103014,907103014,0,SIN MODIFICACION,9956,9956
907103015,907103015,0,SIN MODIFICACION,9956,9956
907103400,907103400,0,SIN MODIFICACION,9956,9956
901026004,901026800,1,PARTICION,9900,9957
912006001,912006001,0,SIN MODIFICACION,9991,9991
912006002,912006002,0,SIN MODIFICACION,9991,9991
912006003,912006003,0,SIN MODIFICACION,9991,9991
912006004,912006004,0,SIN MODIFICACION,9991,9991
902002029,902002800,2,FUSION,9622,9622
902103005,902103800,2,FUSION,9622,9622
902103006,902103800,2,FUSION,9622,9622
902103007,902103800,2,FUSION,9622,9622
912101088,912101800,2,FUSION,9521,9521
902002400,902001001,2,FUSION,9622,9622
902002401,902001002,2,FUSION,9622,9622
902002402,902001003,2,FUSION,9622,9622
902002403,902001004,2,FUSION,9622,9622
401001001,401001001,0,SIN MODIFICACION,4220,4220
401001002,401001002,0,SIN MODIFICACION,4220,4220
401001003,401001003,0,SIN MODIFICACION,4220,4220
401001004,401001004,0,SIN MODIFICACION,4220,4220
401001005,401001005,0,SIN MODIFICACION,4220,4220
401001006,401001006,0,SIN MODIFICACION,4220,4220
401001008,401001008,0,SIN MODIFICACION,4220,4220
401001400,401001400,0,SIN MODIFICACION,4220,4220
401001401,401001401,0,SIN MODIFICACION,4220,4220
401001402,401001402,0,SIN MODIFICACION,4220,4220
401001404,401001404,0,SIN MODIFICACION,4220,4220
401001405,401001405,0,SIN MODIFICACION,4220,4220
401001406,401001406,0,SIN MODIFICACION,4220,4220
401001407,401001407,0,SIN MODIFICACION,4220,4220
401001408,401001408,0,SIN MODIFICACION,4220,4220
401001007,401001800,1,PARTICION,4220,4220
401001007,401001801,1,PARTICION,4220,4220
401002001,401002001,0,SIN MODIFICACION,4220,4220
401002002,401002002,0,SIN MODIFICACION,4220,4220
401002003,401002003,0,SIN MODIFICACION,4220,4220
401002004,401002004,0,SIN MODIFICACION,4220,4220
401002005,401002005,0,SIN MODIFICACION,4220,4220
401002006,401002006,0,SIN MODIFICACION,4220,4220
401002007,401002007,0,SIN MODIFICACION,4220,4220
401002008,401002008,0,SIN MODIFICACION,4220,4220
401002009,401002009,0,SIN MODIFICACION,4220,4220
401002010,401002010,0,SIN MODIFICACION,4220,4220
401002011,401002011,0,SIN MODIFICACION,4220,4220
401002012,401002012,0,SIN MODIFICACION,4220,4220
401002013,401002013,0,SIN MODIFICACION,4220,4220
401003001,401003001,0,SIN MODIFICACION,4220,4220
401003002,401003002,0,SIN MODIFICACION,4220,4220
401003003,401003003,0,SIN MODIFICACION,4220,4220
